Date,Time,Token,Symbol,Entry Price,Exit Price,Position Size ($),PnL ($),PnL (%),Win/Loss,Duration,Close Reason
2025-11-26,14:54:13,DeLQoq1VtsMvBi2P...,DeLQoq1V,$0.32490000,$0.29120000,$46.53,$-5.39,-10.37%,LOSS,0.1h,Stop Loss
2025-11-26,14:56:25,7wLn921FsUveZhiP...,7wLn921F,$0.00002813,$0.00005483,$104.41,$50.84,+94.92%,WIN,0.3h,low_liquidity
2025-11-26,14:58:32,9RacPmJAbpHbir4D...,9RacPmJA,$0.00001073,$0.00001196,$60.34,$6.21,+11.46%,WIN,0.1h,low_liquidity
2025-11-26,14:58:32,CbnfD9ZaLWGdou9a...,CbnfD9Za,$0.00005961,$0.00003018,$30.00,$-29.26,-49.37%,LOSS,0.0h,low_liquidity
2025-11-26,15:00:32,juZr8hwmwD1QnSj6...,juZr8hwm,$0.45080000,$0.40190000,$46.29,$-5.63,-10.85%,LOSS,0.1h,Stop Loss
2025-11-26,15:02:19,8jeyo6BCHdhXJkax...,8jeyo6BC,$0.00001773,$0.00002199,$66.26,$12.84,+24.03%,WIN,0.3h,low_liquidity
2025-11-26,15:06:37,7JrEnJ6Y9PkWYDQZ...,7JrEnJ6Y,$0.00001243,$0.00002556,$112.77,$57.93,+105.63%,WIN,0.4h,low_liquidity
2025-11-26,15:06:37,FCy4X7tSpEBriDV7...,FCy4X7tS,$0.43800000,$1.72000000,$101.94,$75.98,+292.69%,WIN,0.2h,Trailing Stop
2025-11-26,15:09:09,9wRZMWNdeXo1xqus...,9wRZMWNd,$0.00017990,$0.00034640,$94.80,$45.56,+92.55%,WIN,0.7h,low_liquidity
2025-11-26,15:09:09,4duEftUp6G3sdQBV...,4duEftUp,$0.68270000,$0.45480000,$34.59,$-17.33,-33.38%,LOSS,0.2h,Stop Loss
2025-11-26,15:11:05,HXK1vnU6ThRcwgcv...,HXK1vnU6,$0.00001199,$0.00001367,$62.52,$7.68,+14.01%,WIN,0.2h,low_liquidity
2025-11-26,15:12:52,2RmiSgfYuExVTDm3...,2RmiSgfY,$0.43570000,$0.52300000,$62.32,$10.40,+20.04%,WIN,0.1h,Trailing Stop
2025-11-26,15:21:24,7tF8Y1szTp97YZZZ...,7tF8Y1sz,$0.00000859,$0.00001028,$58.81,$9.66,+19.66%,WIN,0.2h,low_liquidity
2025-11-26,15:23:25,4FHEGuzeN1fg5SPM...,4FHEGuze,$0.00012580,$0.00013100,$57.08,$2.27,+4.13%,WIN,0.1h,low_liquidity
2025-11-26,15:23:25,4d6WoJ8P6JRoBg7K...,4d6WoJ8P,$0.00032830,$0.00036840,$61.64,$6.71,+12.21%,WIN,0.5h,Trailing Stop
2025-11-26,15:25:45,H5TEp3m9KJSXSUzV...,H5TEp3m9,$0.00001308,$0.00002065,$85.46,$31.33,+57.87%,WIN,0.3h,low_liquidity
2025-11-26,15:25:45,5gd94qVUP95jkAfd...,5gd94qVU,$0.00001321,$0.00001334,$54.67,$0.53,+0.98%,WIN,0.2h,low_liquidity
2025-11-26,15:32:12,8UvutCrKvyfmn6Nr...,8UvutCrK,$0.00001054,$0.00001058,$55.05,$0.21,+0.38%,WIN,0.1h,low_liquidity
2025-11-26,15:40:36,BN3srPysa2dCnNQv...,BN3srPys,$0.00000876,$0.00001019,$57.28,$8.04,+16.32%,WIN,0.2h,low_liquidity
2025-11-26,15:40:36,GuahDdJya3dzyDHL...,GuahDdJy,$0.00014580,$0.00016420,$61.57,$6.90,+12.62%,WIN,0.1h,low_liquidity
2025-11-26,15:40:36,UjJsiadqP4cMCcgK...,UjJsiadq,$0.19890000,$0.65130000,$110.51,$76.76,+227.45%,WIN,0.2h,Trailing Stop
2025-11-26,15:42:48,2TZ7PFnbMtzjZahz...,2TZ7PFnb,$0.00017460,$0.00033460,$105.04,$50.23,+91.64%,WIN,0.8h,low_liquidity
2025-11-26,15:46:51,GA3o4ZwnEXnvpfYA...,GA3o4Zwn,$0.00001522,$0.00002004,$70.35,$16.92,+31.67%,WIN,0.3h,low_liquidity
2025-11-26,15:46:51,HhitCP5WvAvD1b3L...,HhitCP5W,$0.00001200,$0.00001206,$55.11,$0.27,+0.50%,WIN,0.1h,low_liquidity
2025-11-26,15:48:52,Gws22tcSTTqyHAmP...,Gws22tcS,$0.58200000,$1.30000000,$98.58,$54.44,+123.37%,WIN,0.4h,Trailing Stop
2025-11-26,15:48:52,ByS2Sf6ytr9Ud64Y...,ByS2Sf6y,$0.56850000,$0.32110000,$19.06,$-14.69,-43.52%,LOSS,0.3h,Stop Loss
2025-11-26,15:48:52,Egt7uQbofGCawnC3...,Egt7uQbo,$0.40560000,$0.24670000,$15.79,$-10.17,-39.18%,LOSS,0.2h,Stop Loss
2025-11-26,15:48:52,8zYVq86JKMnAvsoU...,8zYVq86J,$0.00001014,$0.00000979,$47.45,$-1.70,-3.46%,LOSS,0.1h,Trailing Stop
2025-11-26,15:54:54,Hpw15e81WtTuArwG...,Hpw15e81,$0.00006303,$0.00006431,$60.46,$1.20,+2.03%,WIN,0.0h,low_liquidity
2025-11-26,15:57:08,XSKHHDVJmVVDgYb8...,XSKHHDVJ,$0.00001191,$0.00001750,$80.44,$25.70,+46.94%,WIN,0.5h,low_liquidity
2025-11-26,15:57:08,DyJwYQNkBMaQZyny...,DyJwYQNk,$0.00000421,$0.00000503,$68.98,$11.20,+19.39%,WIN,0.2h,low_liquidity
2025-11-26,15:59:15,BiRiYUHc1hWzctX7...,BiRiYUHc,$0.00001205,$0.00001488,$67.60,$12.86,+23.49%,WIN,0.3h,Trailing Stop
2025-11-26,15:59:15,9bqsX8ZXBnb5X7ZS...,9bqsX8ZX,$0.00001299,$0.00002204,$91.69,$37.65,+69.67%,WIN,0.2h,Trailing Stop
2025-11-26,16:05:45,3msDUvVJ7WHWfeP2...,3msDUvVJ,$0.00001043,$0.00000988,$46.71,$-2.62,-5.31%,LOSS,0.1h,Trailing Stop
2025-11-26,16:07:34,C4ZKVqh1hGNkDtdf...,C4ZKVqh1,$0.00001792,$0.00003349,$99.85,$46.42,+86.89%,WIN,0.3h,low_liquidity
2025-11-26,16:09:48,BEi2eDQMfcaGSYVR...,BEi2eDQM,$0.00001250,$0.00001355,$59.45,$4.61,+8.40%,WIN,0.2h,Trailing Stop
2025-11-26,16:09:48,8Y3GVmQjfNR3suQo...,8Y3GVmQj,$0.45020000,$0.41630000,$48.01,$-3.91,-7.53%,LOSS,0.1h,Trailing Stop
2025-11-26,16:11:35,FdWeQaFFCf6WUds4...,FdWeQaFF,$0.00017150,$0.00035690,$96.71,$50.24,+108.10%,WIN,0.5h,low_liquidity
2025-11-26,16:11:35,FoNmFS6TViNJFK4z...,FoNmFS6T,$0.36000000,$0.64210000,$92.61,$40.69,+78.36%,WIN,0.1h,low_liquidity
2025-11-26,16:11:35,HXDCMaSu1K61zJrH...,HXDCMaSu,$0.00017810,$0.00017810,$57.83,$0.00,+0.00%,BREAK-EVEN,0.0h,low_liquidity
2025-11-26,16:11:35,6cKQWSVfRUMZaq3F...,6cKQWSVf,$0.52040000,$1.30000000,$84.31,$50.56,+149.81%,WIN,0.2h,Trailing Stop
2025-11-26,16:13:47,Chc8z3tJKWWqgnBb...,Chc8z3tJ,$0.00004611,$0.00011820,$121.18,$73.91,+156.34%,WIN,0.2h,low_liquidity
2025-11-26,16:18:02,5thpFYk28ejZ24Sr...,5thpFYk2,$0.00004574,$0.00024240,$147.36,$119.56,+429.95%,WIN,0.5h,low_liquidity
2025-11-26,16:18:02,6499xg3UFHe4hq1Q...,6499xg3U,$0.00001318,$0.00001330,$54.63,$0.49,+0.91%,WIN,0.1h,low_liquidity
2025-11-26,16:18:02,6euXvrE3d2HvMFvZ...,6euXvrE3,$0.00000887,$0.00000881,$48.92,$-0.32,-0.64%,LOSS,0.1h,low_liquidity
2025-11-26,16:18:02,wVxtBYpdZd2v8DaA...,wVxtBYpd,$0.01261000,$0.01261000,$51.92,$0.00,+0.00%,BREAK-EVEN,0.0h,low_liquidity
2025-11-26,16:22:12,2FHjugz1SyEcCdG7...,2FHjugz1,$0.00001161,$0.00001361,$64.29,$9.45,+17.23%,WIN,0.2h,low_liquidity
2025-11-26,16:30:27,5dFWF99JFc8RuwMe...,5dFWF99J,$0.00001044,$0.00001044,$49.24,$0.00,+0.00%,BREAK-EVEN,0.1h,low_liquidity
2025-11-26,16:32:32,C6yLNofz4mQyv5iX...,C6yLNofz,$0.00018070,$0.00025390,$77.02,$22.20,+40.51%,WIN,0.2h,low_liquidity
2025-11-26,16:32:32,3RgoW9ewbBZLJFkP...,3RgoW9ew,$0.00006221,$0.00006706,$64.74,$4.68,+7.80%,WIN,0.2h,Trailing Stop
2025-11-26,16:32:32,6mZTVMS8vV5mjjZz...,6mZTVMS8,$0.01374000,$0.02540000,$81.58,$37.45,+84.86%,WIN,0.2h,Trailing Stop
2025-11-26,16:34:44,FpDQL8AtjkaLGMUt...,FpDQL8At,$0.00001324,$0.00001527,$63.25,$8.41,+15.33%,WIN,0.2h,low_liquidity
2025-11-26,16:36:45,2NGmnS1jmdmTjMJp...,2NGmnS1j,$0.00002550,$0.00002848,$58.93,$6.17,+11.69%,WIN,0.3h,low_liquidity
2025-11-26,16:38:20,Ghfr1SF3icKFQwjp...,Ghfr1SF3,$0.00001053,$0.00001074,$55.93,$1.09,+1.99%,WIN,0.0h,low_liquidity
2025-11-26,16:38:20,9iJe9tKJnRXxv82v...,9iJe9tKJ,$0.00001322,$0.00001952,$79.93,$25.80,+47.66%,WIN,0.2h,Trailing Stop
2025-11-26,16:38:20,GQpX69sVL9u6RFKi...,GQpX69sV,$0.43880000,$0.16760000,$19.83,$-32.09,-61.80%,LOSS,0.0h,Stop Loss
2025-11-26,16:39:22,7yDhSgGXh8Su5xhH...,7yDhSgGX,$0.24090000,$0.24090000,$51.92,$0.00,+0.00%,BREAK-EVEN,0.1h,low_liquidity
2025-11-26,16:41:00,9tbhWqxEViDSU1tP...,9tbhWqxE,$0.47430000,$0.55010000,$60.22,$8.30,+15.98%,WIN,0.1h,Trailing Stop
2025-11-26,16:42:48,2WkGcuTddbbNLZEt...,2WkGcuTd,$0.39930000,$0.41870000,$54.44,$2.52,+4.86%,WIN,0.1h,Trailing Stop
2025-11-26,16:44:58,AXhrMcyKaPy1TUqN...,AXhrMcyK,$0.00118700,$0.00118700,$56.37,$0.00,+0.00%,BREAK-EVEN,0.0h,low_liquidity
2025-11-26,16:44:58,DNoWzTbiLbC3EWdk...,DNoWzTbi,$0.46880000,$1.22000000,$87.83,$54.08,+160.24%,WIN,0.2h,Trailing Stop
2025-11-26,16:47:09,45vKj6LCeopYwvtm...,45vKj6LC,$0.00001194,$0.00001125,$51.76,$-3.17,-5.78%,LOSS,0.1h,Trailing Stop
2025-11-26,16:51:12,2tDuSqW1MpBmvLZP...,2tDuSqW1,$0.00105300,$0.00116500,$62.21,$5.98,+10.64%,WIN,0.1h,low_liquidity
2025-11-26,16:51:13,F4Utsbby8RmPghgo...,F4Utsbby,$0.49750000,$0.30080000,$31.39,$-20.53,-39.54%,LOSS,0.0h,Stop Loss
2025-11-26,16:53:28,6KXEGe2ZSU7JHeAE...,6KXEGe2Z,$0.00003699,$0.00001771,$27.73,$-30.19,-52.12%,LOSS,0.1h,low_liquidity
2025-11-26,16:53:28,CCt9Lsg8mVA9VEXF...,CCt9Lsg8,$0.00001333,$0.00001334,$54.17,$0.04,+0.08%,WIN,0.1h,low_liquidity
2025-11-26,16:53:28,6MC9Ps9dCBEqfwkr...,6MC9Ps9d,$0.39290000,$0.13520000,$17.87,$-34.05,-65.59%,LOSS,0.1h,Stop Loss
2025-11-26,16:57:19,5USkRaXuaJpok3ZW...,5USkRaXu,$0.00015950,$0.00052310,$127.83,$88.86,+227.96%,WIN,2.2h,low_liquidity
2025-11-26,16:57:19,5iwnAyWG2YLH5aAk...,5iwnAyWG,$0.00000412,$0.00000771,$107.92,$50.23,+87.08%,WIN,0.9h,low_liquidity
2025-11-26,17:03:44,2Y7LaR2RwYKbivdD...,2Y7LaR2R,$0.00001322,$0.00001536,$63.72,$8.88,+16.19%,WIN,0.2h,low_liquidity
2025-11-26,17:05:28,397bZUjMQtvToJqJ...,397bZUjM,$0.00001017,$0.00001195,$57.86,$8.62,+17.50%,WIN,0.2h,low_liquidity
2025-11-26,17:07:50,xfbJughXJNDmJdFY...,xfbJughX,$0.33210000,$0.71800000,$95.41,$51.28,+116.20%,WIN,0.3h,low_liquidity
2025-11-26,17:14:02,D9WTz9gbfZhxWnpL...,D9WTz9gb,$0.00012250,$0.00014970,$66.98,$12.17,+22.20%,WIN,0.3h,low_liquidity
2025-11-26,17:14:02,HN25bU23WmT13V1A...,HN25bU23,$0.17240000,$0.08734000,$26.30,$-25.62,-49.34%,LOSS,0.0h,Stop Loss
2025-11-26,17:22:09,5P5GWjmC2UcvUAmT...,5P5GWjmC,$0.42210000,$0.66900000,$53.49,$19.74,+58.49%,WIN,0.2h,Trailing Stop
2025-11-26,17:24:32,He4RT6TH4fXZgQKC...,He4RT6TH,$0.00004791,$0.00015700,$154.91,$107.64,+227.70%,WIN,0.2h,low_liquidity
2025-11-26,17:28:21,5FmT66FyVs9VkgoP...,5FmT66Fy,$0.00019700,$0.00044940,$53.80,$30.22,+128.12%,WIN,0.2h,Trailing Stop
2025-11-26,17:28:21,6d2sz3VwvkMsq6UE...,6d2sz3Vw,$0.01322000,$0.00703100,$27.61,$-24.31,-46.82%,LOSS,0.0h,Stop Loss
2025-11-26,17:30:08,E3746eUSVzph4XHC...,E3746eUS,$0.00001383,$0.00001345,$52.65,$-1.49,-2.75%,LOSS,0.2h,Trailing Stop
2025-11-26,17:36:34,2aGuFmbNhjjCXw3u...,2aGuFmbN,$0.00001291,$0.00001304,$55.49,$0.55,+1.01%,WIN,0.4h,low_liquidity
2025-11-26,17:36:35,FJofXjKwq2PvjSJK...,FJofXjKw,$0.49360000,$1.55000000,$105.98,$72.23,+214.02%,WIN,0.3h,Trailing Stop
2025-11-26,17:36:35,VmmjBczKyUWZMEWi...,VmmjBczK,$0.61960000,$1.36000000,$74.08,$40.33,+119.50%,WIN,0.2h,Trailing Stop
2025-11-26,17:41:06,36pb5UaDn6iY4Qux...,36pb5UaD,$0.00006189,$0.00006021,$45.99,$-1.28,-2.71%,LOSS,0.4h,low_liquidity
2025-11-26,17:43:10,9pPptUmYAkztkZTs...,9pPptUmY,$0.00006725,$0.00008461,$73.55,$15.09,+25.81%,WIN,0.2h,low_liquidity
2025-11-26,17:43:10,F3zgA4SSat4jcShk...,F3zgA4SS,$0.00001346,$0.00001340,$54.60,$-0.24,-0.45%,LOSS,0.2h,low_liquidity
2025-11-26,17:45:11,CJJQFiPTkusWs8kW...,CJJQFiPT,$0.21260000,$0.31500000,$65.39,$21.26,+48.17%,WIN,0.1h,Trailing Stop
2025-11-26,17:47:06,DiE4C49FKwbhkVXG...,DiE4C49F,$0.00004615,$0.00001919,$23.46,$-32.96,-58.42%,LOSS,0.1h,low_liquidity
2025-11-26,17:51:12,GeycuaYUTgqUi5jN...,GeycuaYU,$0.25190000,$1.42000000,$117.07,$96.30,+463.72%,WIN,0.3h,low_liquidity
2025-11-26,17:53:10,3b8VXjF7PypWyALn...,3b8VXjF7,$0.00001038,$0.00001034,$49.05,$-0.19,-0.39%,LOSS,0.1h,low_liquidity
2025-11-26,17:57:34,9ndbNV9eJt7FLBgz...,9ndbNV9e,$0.35210000,$0.09280000,$13.68,$-38.24,-73.64%,LOSS,0.1h,Stop Loss
2025-11-26,17:59:30,7tBraAViYTtYpXJY...,7tBraAVi,$0.00389800,$0.00553300,$81.78,$24.17,+41.94%,WIN,0.7h,Trailing Stop
2025-11-26,18:03:39,C3uV8T3hV7n1nPsd...,C3uV8T3h,$0.00003552,$0.00001120,$18.16,$-39.43,-68.47%,LOSS,0.3h,low_liquidity
2025-11-26,18:03:39,D2CTFHyrvj6MeS3E...,D2CTFHyr,$0.00005792,$0.00007028,$72.76,$12.80,+21.34%,WIN,0.3h,Trailing Stop
2025-11-26,18:03:39,AbXbLrxDj84HDUG6...,AbXbLrxD,$0.00037230,$0.00041380,$60.27,$6.04,+11.15%,WIN,0.2h,Trailing Stop
2025-11-26,18:08:10,3HXUcbPobVFRyMvB...,3HXUcbPo,$0.00101300,$0.00437000,$123.31,$94.72,+331.39%,WIN,0.5h,low_liquidity
2025-11-26,18:08:10,FGRZxhZqe91XwEeg...,FGRZxhZq,$0.34950000,$0.64670000,$62.45,$28.70,+85.04%,WIN,0.2h,Trailing Stop
2025-11-26,18:14:07,EvZf1zGCL2K9yCEw...,EvZf1zGC,$0.00001033,$0.00001197,$57.06,$7.82,+15.88%,WIN,0.2h,low_liquidity
2025-11-26,18:14:07,9ZBYfxTfGFdkrgLU...,9ZBYfxTf,$0.13800000,$0.13800000,$46.32,$0.00,+0.00%,BREAK-EVEN,0.0h,low_liquidity
2025-11-26,18:16:25,H9TYiCqpys4NM6QJ...,H9TYiCqp,$0.00000672,$0.00001084,$96.43,$36.61,+61.19%,WIN,0.6h,low_liquidity
2025-11-26,18:16:25,4JYNDE8akXRvPZkM...,4JYNDE8a,$0.00006157,$0.00003136,$28.33,$-27.29,-49.07%,LOSS,0.1h,low_liquidity
2025-11-26,18:16:25,8Biww6NpFiEeqiff...,8Biww6Np,$0.46810000,$0.10810000,$11.99,$-39.93,-76.91%,LOSS,0.0h,Stop Loss
2025-11-26,18:18:36,4fg64TzfZJDHfVCV...,4fg64Tzf,$0.00032980,$0.00032980,$49.38,$0.00,+0.00%,BREAK-EVEN,0.1h,low_liquidity
2025-11-26,18:20:23,4ThN9Qiixdr8ne12...,4ThN9Qii,$0.00016160,$0.00031050,$115.22,$55.25,+92.14%,WIN,2.0h,low_liquidity
2025-11-26,18:22:23,CZyojRAKcBKhBGCK...,CZyojRAK,$0.00019770,$0.00034390,$104.31,$44.35,+73.95%,WIN,1.2h,low_liquidity
2025-11-26,18:22:23,GsfNPEBJW6SMRZWT...,GsfNPEBJ,$0.00139900,$0.00509500,$178.14,$129.23,+264.19%,WIN,0.1h,low_liquidity
2025-11-26,18:26:28,5Cb1fN3UPjfcRPfJ...,5Cb1fN3U,$0.00015080,$0.00066600,$121.04,$93.63,+341.64%,WIN,2.1h,low_liquidity
2025-11-26,18:28:37,AS6osDWJWchibxfg...,AS6osDWJ,$0.31830000,$0.50800000,$53.86,$20.11,+59.60%,WIN,0.1h,Trailing Stop
2025-11-26,18:30:55,DrMCATnFnNnmBUiQ...,DrMCATnF,$0.00006115,$0.00002064,$18.77,$-36.84,-66.25%,LOSS,0.1h,low_liquidity
2025-11-26,18:37:05,YtjQThVEazoQ3LzR...,YtjQThVE,$0.00000901,$0.00000904,$49.35,$0.11,+0.22%,WIN,0.2h,low_liquidity
2025-11-26,18:37:05,Ef34Dssz5QDSJ3bK...,Ef34Dssz,$0.45340000,$0.52280000,$29.93,$3.97,+15.31%,WIN,0.2h,Trailing Stop
2025-11-26,18:37:05,F8sZjKziTn7ZowD8...,F8sZjKzi,$0.00001344,$0.00001428,$57.42,$3.38,+6.25%,WIN,0.1h,Trailing Stop
2025-11-26,18:41:21,CBtJyEuGRzCWEveb...,CBtJyEuG,$0.37730000,$1.02300000,$70.39,$44.43,+171.14%,WIN,0.2h,Trailing Stop
2025-11-26,18:41:21,5hQ1ZmUgxxg2q8rC...,5hQ1ZmUg,$0.41940000,$0.37300000,$39.25,$-4.88,-11.06%,LOSS,0.1h,Stop Loss
2025-11-26,18:43:33,E6q7pAXac7BUjVu5...,E6q7pAXa,$0.00004787,$0.00019950,$92.71,$70.46,+316.75%,WIN,0.4h,low_liquidity
2025-11-26,18:45:39,5VpUqqu1e21QZzvV...,5VpUqqu1,$0.00001079,$0.00001075,$54.64,$-0.20,-0.37%,LOSS,0.1h,low_liquidity
2025-11-26,18:45:39,HuBkVUTo7TY2QPFo...,HuBkVUTo,$0.00001299,$0.00001376,$58.19,$3.26,+5.93%,WIN,0.1h,Trailing Stop
2025-11-26,18:49:44,CLhkQqLYd2T7GeYd...,CLhkQqLY,$0.00017120,$0.00025760,$82.48,$27.66,+50.47%,WIN,0.5h,low_liquidity
2025-11-26,18:52:20,Cv9e9m59NcWt7xkc...,Cv9e9m59,$0.60710000,$0.34100000,$29.16,$-22.76,-43.83%,LOSS,0.0h,Stop Loss
2025-11-26,18:58:36,5CwRHgCXpwdko216...,5CwRHgCX,$0.00004625,$0.00005856,$73.34,$15.42,+26.62%,WIN,0.2h,Trailing Stop
2025-11-26,19:00:10,jAwWNAGhCDqmiXTn...,jAwWNAGh,$0.00038240,$0.00038240,$49.38,$0.00,+0.00%,BREAK-EVEN,0.1h,low_liquidity
2025-11-26,19:03:56,GVRkJSs9X38t6YRh...,GVRkJSs9,$0.00005518,$0.00003880,$33.63,$-14.20,-29.68%,LOSS,0.4h,low_liquidity
2025-11-26,19:03:56,3SNBbip29WthN9rk...,3SNBbip2,$0.45870000,$0.86400000,$83.13,$38.99,+88.36%,WIN,0.1h,Trailing Stop
2025-11-26,19:04:59,GmK4CSUsKA7MGb6F...,GmK4CSUs,$0.00004292,$0.00012390,$136.46,$89.19,+188.68%,WIN,0.3h,low_liquidity
2025-11-26,19:08:14,AYK2Cd3k8EX62Xbj...,AYK2Cd3k,$0.00000489,$0.00000837,$96.28,$40.01,+71.10%,WIN,0.8h,low_liquidity
2025-11-26,19:10:28,A6bvQFwnsoN5vkbK...,A6bvQFwn,$0.00018010,$0.00032290,$98.27,$43.46,+79.29%,WIN,0.4h,low_liquidity
2025-11-26,19:14:36,3prYJ8vePZKQscUp...,3prYJ8ve,$0.00091200,$0.00092130,$58.51,$0.59,+1.02%,WIN,0.0h,low_liquidity
