Date,Time,Token,Symbol,Entry Price,Exit Price,Position Size ($),PnL ($),PnL (%),Win/Loss,Duration,Close Reason
2025-11-26,13:45:45,CWm9UAY88XjWmj8c...,CWm9UAY8,$0.00000000,$0.00000001,$0.00,$-51.92,-100.00%,LOSS,N/A,Unknown
2025-11-26,13:45:45,7C83RJVN7our1i4Y...,7C83RJVN,$0.00000000,$0.19390000,$36.45,$-15.47,-29.80%,LOSS,N/A,Unknown
2025-11-26,13:47:34,9S5zAjqkLdBwqkEG...,9S5zAjqk,$0.00000000,$0.00001826,$55.15,$2.39,+4.52%,WIN,N/A,Unknown
2025-11-26,13:47:34,ErhzgCMihDV57urH...,ErhzgCMi,$0.00000000,$0.00003766,$79.48,$25.12,+46.20%,WIN,N/A,Unknown
2025-11-26,13:47:34,GA5jGfL9KBCaCj3N...,GA5jGfL9,$0.00000000,$0.00000974,$47.23,$-2.01,-4.09%,LOSS,N/A,Unknown
2025-11-26,13:47:34,8USaV5KE2YwXtzT1...,8USaV5KE,$0.00000000,$0.90280000,$103.00,$51.08,+98.37%,WIN,N/A,Unknown
2025-11-26,13:47:34,6afznnmTPcPLsKVV...,6afznnmT,$0.00000000,$0.00019660,$60.34,$5.52,+10.08%,WIN,N/A,Unknown
2025-11-26,13:47:35,DeRvCRjAEN9BD3Up...,DeRvCRjA,$0.00000000,$0.36610000,$29.18,$-22.74,-43.80%,LOSS,N/A,Unknown
2025-11-26,13:47:35,92KVS6vg2GSLUWvu...,92KVS6vg,$0.00000000,$0.00000367,$72.14,$14.46,+25.06%,WIN,N/A,Unknown
2025-11-26,13:47:35,9QdqmsFPzmZnAS6x...,9QdqmsFP,$0.00000000,$0.75440000,$51.92,$0.00,+0.00%,BREAK-EVEN,N/A,Unknown
2025-11-26,13:47:35,C3dDK2JEpchsd8z9...,C3dDK2JE,$0.00000000,$0.00011570,$54.81,$0.00,+0.00%,BREAK-EVEN,N/A,Unknown
2025-11-26,13:54:33,3iPqg37vMRAkCcu8...,3iPqg37v,$0.00000000,$0.00000001,$0.00,$-51.92,-100.00%,LOSS,N/A,Unknown
2025-11-26,13:59:07,3AhkM1BCFJBW7P7B...,3AhkM1BC,$0.00000000,$0.00000001,$0.04,$-54.80,-99.92%,LOSS,N/A,Unknown
2025-11-26,14:01:15,DdqC8ShYoeXtXbMK...,DdqC8ShY,$0.00000000,$0.13420000,$11.39,$-40.53,-78.07%,LOSS,N/A,Unknown
2025-11-26,14:02:01,HJeDuXDjqHL5GbGK...,HJeDuXDj,$0.00000000,$1.10000000,$117.91,$73.78,+167.18%,WIN,N/A,Unknown
2025-11-26,14:02:01,4RBZ5AjGhebaVhxo...,4RBZ5AjG,$0.00000000,$0.00021200,$81.08,$21.11,+35.20%,WIN,N/A,Unknown
2025-11-26,14:02:02,FQPC6KApYUeE76bJ...,FQPC6KAp,$0.00000000,$0.78750000,$97.14,$45.22,+87.10%,WIN,N/A,Unknown
2025-11-26,14:02:02,7ozWiNaSf3NwTksZ...,7ozWiNaS,$0.00000000,$0.00052700,$60.45,$6.32,+11.68%,WIN,N/A,Unknown
2025-11-26,14:02:02,4Q3TVGdjTnCqA5dS...,4Q3TVGdj,$0.00000000,$0.51990000,$50.69,$-1.23,-2.37%,LOSS,N/A,Unknown
2025-11-26,14:02:02,92KVS6vg2GSLUWvu...,92KVS6vg,$0.00000000,$0.00000432,$61.01,$4.67,+8.30%,WIN,N/A,Unknown
2025-11-26,14:02:02,2xTKSbL7ZGLB6NMx...,2xTKSbL7,$0.00000000,$0.00003765,$65.53,$9.92,+17.84%,WIN,N/A,Unknown
2025-11-26,14:02:03,AqgeFeo7PmQqZcrH...,AqgeFeo7,$0.00000000,$1.05500000,$116.72,$72.59,+164.48%,WIN,N/A,Unknown
2025-11-26,14:02:03,BJQEiBJbr8C3vT9h...,BJQEiBJb,$0.00000000,$0.00001389,$58.14,$4.10,+7.59%,WIN,N/A,Unknown
2025-11-26,14:02:03,GyFNfwRzcbV4sjXm...,GyFNfwRz,$0.00000000,$0.10570000,$56.13,$4.35,+8.40%,WIN,N/A,Unknown
2025-11-26,14:02:03,HfsK5b1vmVFEK4SR...,HfsK5b1v,$0.00000000,$0.68720000,$81.70,$29.78,+57.36%,WIN,N/A,Unknown
2025-11-26,14:34:23,7fzVAM3iZ9WJvRec...,7fzVAM3i,$0.00000000,$0.27530000,$37.89,$-14.03,-27.01%,LOSS,N/A,Unknown
2025-11-26,14:35:43,FwFajTWB17TzJdRf...,FwFajTWB,$0.00000000,$0.40490000,$51.92,$0.00,+0.00%,BREAK-EVEN,N/A,Unknown
2025-11-26,14:37:54,5dt7g9gM1TsdHif7...,5dt7g9gM,$0.00000000,$0.00001919,$19.93,$-36.48,-64.67%,LOSS,N/A,Unknown
2025-11-26,14:44:48,Ef2SKc8koLeuiL4x...,Ef2SKc8k,$0.00000000,$0.87490000,$69.05,$17.13,+32.98%,WIN,N/A,Unknown
2025-11-26,14:44:48,AwB3bjocyhjqbUy6...,AwB3bjoc,$0.00000000,$0.00019390,$57.11,$2.30,+4.19%,WIN,N/A,Unknown
2025-11-26,14:44:48,CWneu8TUeHwfaHgg...,CWneu8TU,$0.00000000,$0.00007552,$76.87,$16.91,+28.20%,WIN,N/A,Unknown
2025-11-26,14:50:50,CxG5gbZx9b2oRZ3m...,CxG5gbZx,$0.00145400,$0.00193800,$76.83,$19.19,+33.29%,WIN,0.1h,low_liquidity
2025-11-26,14:50:50,H39vQG5D96SZUTxL...,H39vQG5D,$0.00005716,$0.00002781,$27.45,$-28.97,-51.35%,LOSS,0.1h,low_liquidity
2025-11-26,14:50:50,D5FA3KoH8wVEVUHP...,D5FA3KoH,$0.60930000,$0.47910000,$40.83,$-11.09,-21.37%,LOSS,0.0h,Stop Loss
2025-11-26,14:52:07,7PQVCQpu5aobnyjM...,7PQVCQpu,$0.00001031,$0.00001034,$49.48,$0.14,+0.29%,WIN,0.1h,low_liquidity
